,Week,Name,Team,Opponent,Fanduel_Points,Fanduel_Price,Home
0,1,"Wilson, Russell",sea, atl,31.78,8400.0,Away
1,1,"Rodgers, Aaron",gnb, min,30.76,7600.0,Away
2,1,"Allen, Josh",buf,nyj,28.18,7900.0,Home
3,1,"Jackson, Lamar",bal,cle,27.5,9300.0,Home
4,1,"Murray, Kyler",ari, sfo,27.3,7700.0,Away
5,1,"Newton, Cam",nwe,mia,25.7,7400.0,Home
6,1,"Ryan, Matt",atl,sea,24.9,7800.0,Home
7,1,"Trubisky, Mitchell",chi, det,24.28,6900.0,Away
8,1,"Cousins, Kirk",min,gnb,22.76,7200.0,Home
9,1,"Brady, Tom",tam, nor,22.46,7500.0,Away
10,1,"Roethlisberger, Ben",pit, nyg,22.06,7800.0,Away
11,1,"Watson, Deshaun",hou, kan,21.82,8200.0,Away
12,1,"Minshew, Gardner",jac,ind,20.82,6700.0,Home
13,1,"Mahomes II, Patrick",kan,hou,20.44,9500.0,Home
14,1,"Bridgewater, Teddy",car,lvr,19.4,6800.0,Home
15,1,"Tannehill, Ryan",ten, den,19.36,7000.0,Away
16,1,"Jones, Daniel",nyg,pit,19.36,7200.0,Home
17,1,"Garoppolo, Jimmy",sfo,ari,19.26,7300.0,Home
18,1,"Prescott, Dak",dal, lar,17.64,8400.0,Away
19,1,"Burrow, Joe",cin,lac,17.32,6600.0,Home
20,1,"Stafford, Matthew",det,chi,17.18,7300.0,Home
21,1,"Rivers, Philip",ind, jac,16.82,7200.0,Away
22,1,"Wentz, Carson",phi, was,15.0,7700.0,Away
23,1,"Brees, Drew",nor,tam,14.4,8100.0,Home
24,1,"Carr, Derek",lvr, car,13.56,7100.0,Away
25,1,"Lock, Drew",den,ten,13.14,6700.0,Home
26,1,"Haskins, Dwayne",was,phi,12.82,6500.0,Home
27,1,"Darnold, Sam",nyj, buf,12.2,6800.0,Away
28,1,"Goff, Jared",lar,dal,11.5,7400.0,Home
29,1,"Mayfield, Baker",cle, bal,10.86,7000.0,Away
30,1,"Taylor, Tyrod",lac, cin,9.02,7000.0,Away
31,1,"Fitzpatrick, Ryan",mia, nwe,8.44,6400.0,Away
32,1,"Streveler, Chris",ari, sfo,0.3,6000.0,Away
33,1,"Griffin III, Robert",bal,cle,0.26,6000.0,Home
34,1,"Hoyer, Brian",nwe,mia,0.0,6000.0,Home
35,1,"Tagovailoa, Tua",mia, nwe,0.0,6200.0,Away
36,1,"Brissett, Jacoby",ind, jac,0.0,6000.0,Away
37,1,"Boyle, Tim",gnb, min,-0.2,6000.0,Away
38,1,"Jacobs, Josh",lvr, car,33.9,8200.0,Away
39,1,"McCaffrey, Christian",car,lvr,26.9,10000.0,Home
40,1,"Elliott, Ezekiel",dal, lar,26.2,8700.0,Away
41,1,"Brown, Malcolm",lar,dal,24.5,5000.0,Home
42,1,"Hines, Nyheim",ind, jac,23.3,4900.0,Away
43,1,"Mostert, Raheem",sfo,ari,23.1,6200.0,Home
44,1,"Carson, Chris",sea, atl,21.6,7200.0,Away
45,1,"Cook, Dalvin",min,gnb,21.3,8700.0,Home
46,1,"Kamara, Alvin",nor,tam,21.2,8300.0,Home
47,1,"Edwards-Helaire, Clyde",kan,hou,19.8,7200.0,Home
48,1,"Johnson, David",hou, kan,18.4,6300.0,Away
49,1,"Jones, Aaron",gnb, min,15.6,7800.0,Away
50,1,"Barber, Peyton",was,phi,14.9,4900.0,Home
51,1,"Henry, Derrick",ten, den,14.6,8400.0,Away
52,1,"Dobbins, J.K.",bal,cle,14.2,5200.0,Home
53,1,"Gordon, Melvin",den,ten,14.1,6600.0,Home
54,1,"Drake, Kenyan",ari, sfo,13.5,6600.0,Away
55,1,"Peterson, Adrian",det,chi,12.9,5100.0,Home
56,1,"Gurley, Todd",atl,sea,12.7,7100.0,Home
57,1,"Kelley, Joshua",lac, cin,12.0,4500.0,Away
58,1,"Edmonds, Chase",ari, sfo,12.0,5000.0,Away
59,1,"McKinnon, Jerick",sfo,ari,11.9,5000.0,Home
60,1,"Taylor, Jonathan",ind, jac,11.9,5300.0,Away
61,1,"Snell, Benny",pit, nyg,11.3,4600.0,Away
62,1,"Moss, Zack",buf,nyj,10.2,4800.0,Home
63,1,"Hunt, Kareem",cle, bal,10.1,5800.0,Away
64,1,"Mattison, Alexander",min,gnb,10.0,4900.0,Home
65,1,"Swift, D'Andre",det,chi,9.8,5100.0,Home
66,1,"Michel, Sony",nwe,mia,9.7,6000.0,Home
67,1,"Barkley, Saquon",nyg,pit,9.6,9000.0,Home
68,1,"Robinson, James",jac,ind,9.5,4500.0,Home
69,1,"Jones, Ronald",tam, nor,9.2,5700.0,Away
70,1,"Adams, Josh",nyj, buf,9.2,4500.0,Away
71,1,"Ekeler, Austin",lac, cin,9.2,7700.0,Away
